ticker,name,theme_name,desc
"""457990""",PLUS 태양광&ESS,태양광&ESS,3M_107
"""0091P0""",TIGER 코리아원자력,코리아원자력,3M_86
"""0093A0""",RISE AI반도체TOP10,AI반도체TOP10,3M_85
"""367760""",RISE 네트워크인프라,네트워크인프라,3M_84
"""117700""",KODEX 건설,건설,3M_83
"""395270""",HANARO Fn K-반도체,Fn K-반도체,3M_78
"""475310""",SOL 반도체후공정,반도체후공정,3M_73
"""377990""",TIGER Fn신재생에너지,Fn신재생에너지,3M_72
"""0092B0""",SOL 한국원자력SMR,한국원자력SMR,3M_71
"""471990""",KODEX AI반도체핵심장비,AI반도체핵심장비,3M_70
"""475300""",SOL 반도체전공정,반도체전공정,3M_70
"""487240""",KODEX AI전력핵심설비,AI전력핵심설비,3M_69
"""0117V0""",TIGER 코리아AI전력기기TOP3플러..,코리아AI전력기기TOP3플러..,3M_68
"""494220""",UNICORN SK하이닉스밸류체인액티..,SK하이닉스밸류체인액티..,3M_68
"""385510""",KODEX 신재생에너지액티브,신재생에너지액티브,3M_67
"""474590""",WON 반도체밸류체인액티브,WON반도체밸류체인액티브,3M_66
"""0098F0""",KODEX 원자력SMR,원자력SMR,3M_62
"""455850""",SOL AI반도체소부장,AI반도체소부장,3M_61
"""471760""",TIGER AI반도체핵심공정,AI반도체핵심공정,3M_59
"""069500""",KODEX 200,KODEX 200,3M_34
"""0101N0""",RISE AI전력인프라,AI전력인프라,3M_52
